姓名,國文,英文,數學,地理,歷史
盧冠發,82,96,70,73,46
陳逸凡,87,86,64,61,78
林詠斌,70,96,95,87,85
蔡至剛,48,84,76,93,55
王人仰,86,62,76,48,69
王品星,71,53,60,82,64
陳淑萍,65,76,69,95,94
黃彥孝,63,50,58,74,49
林世城,52,95,45,53,73
楊偉翔,53,97,61,63,82
劉嘉泰,75,76,91,96,54
羅佩樺,83,53,46,81,88
楊易政,64,94,66,89,66
沈心利,65,88,76,79,90
陳俊憲,60,63,86,52,82
王泓泰,58,85,88,81,88
王怡珊,99,65,90,61,75
龔姵君,62,91,93,58,45
劉昀天,99,88,58,90,86
黃名明,78,99,56,94,87
張婕妤,77,70,66,75,69
陳筱涵,84,100,48,84,60
李立偉,51,88,79,50,95
周家銘,92,77,62,85,58
葉志峰,95,97,66,74,96
白美珍,80,53,73,81,60
陳孝邦,100,92,61,91,81
趙偉銘,100,46,88,84,53
蔡孟泉,60,65,80,53,71
馬彥文,50,92,82,76,52
