姓名,科目1,科目1,科目1,科目1,科目1
黃偉剛,55,71,53,76,84
梁柏宇,95,94,68,73,49
楊火帆,63,54,46,45,40
盧文啟,94,50,40,61,62
陳怡珊,60,52,52,72,74
張莉雯,52,69,83,61,81
高俊男,65,41,80,52,90
陳信念,71,50,44,74,76
陳孝邦,81,100,65,97,46
劉慧君,44,61,90,75,83
張彥博,74,79,41,43,53
溫法堯,99,44,76,84,79
余丞苓,44,43,44,95,68
林思賢,48,87,42,58,75
黃志福,68,46,99,94,63
陳淑萍,40,63,51,58,60
蔡偉成,45,85,100,41,72
劉耿琦,42,98,91,80,60
陳信宏,95,85,59,76,77
尚偉倫,58,44,40,78,96
葉祖雄,93,89,66,47,90
許淑婷,73,79,74,91,72
李美洋,42,98,92,84,59
李立偉,78,59,59,43,99
林益妏,65,89,47,74,60
吳志宣,51,72,55,66,68
魏秋萍,85,56,72,76,67
張凱妮,78,83,67,78,87
陳怡伶,46,80,40,48,67
林思賢,75,54,96,84,50
李慈啟,52,51,92,99,88
張慧君,77,58,85,59,99
趙家豪,64,49,58,73,73
陳俊憲,93,76,72,66,55
張彥博,98,86,49,43,49
郭舜昇,79,70,75,55,72
黃詩妃,91,42,94,64,41
杜明延,91,65,73,100,84
李美洋,53,61,45,99,52
陳家維,63,53,58,86,68
張雅芬,68,58,74,48,84
吳欣書,95,60,95,83,41
林佳蓉,94,53,82,53,91
葉志峰,62,98,89,60,89
盧必妍,66,86,42,69,86
陳逸華,68,61,81,46,86
黃佩芬,66,49,94,77,100
張牧聿,80,78,41,46,41
蕭淑華,84,96,72,49,46
藍姿婷,98,57,85,51,49
